indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
9008,ebro,743.1,1121.032,3.587,24.118,40.336,0.123,0.431,1.472,2.716,1.845,0.038,0.848,19.26,259.9,0.288,0.107,clean
9010,ebro,2203.7,1103.117,3.837,23.585,40.613,0.125,0.448,1.439,2.709,1.883,0.045,0.84,18.92,260.8,0.286,0.07,regulated_low
9013,ebro,892.1,1539.498,19.814,21.113,41.333,0.555,0.022,2.741,2.124,0.775,0.17,0.558,14.94,208.6,0.429,0.675,clean
9018,ebro,241.5,1593.412,20.711,18.94,42.986,0.544,0.003,3.787,2.069,0.546,0.206,0.404,12.42,184.2,0.496,0.575,clean
9021,ebro,306.8,1843.224,12.763,17.754,49.119,0.296,0.042,2.967,1.946,0.656,0.225,0.765,12.53,194.0,0.469,0.322,clean
9035,ebro,285.8,1487.142,13.129,20.146,42.802,0.746,0.0,2.445,2.177,0.89,0.146,0.733,14.05,210.5,0.424,0.366,clean
9036,ebro,568.1,1309.701,13.045,21.787,40.996,0.731,0.003,2.481,2.236,0.901,0.107,0.695,14.14,208.2,0.43,0.353,clean
9038,ebro,1100.2,1089.949,14.099,23.524,38.126,0.511,0.18,2.567,2.275,0.886,0.082,0.702,13.19,204.4,0.44,0.355,clean
9041,ebro,376.9,1200.465,4.923,24.439,38.616,0.189,0.315,1.473,2.669,1.812,0.054,0.831,18.82,259.9,0.288,0.061,regulated_low
9042,ebro,1497.4,1105.227,3.33,23.512,41.025,0.086,0.511,1.428,2.697,1.888,0.05,0.849,19.35,262.7,0.281,0.114,clean
9043,ebro,106.5,1302.035,7.981,24.984,38.102,0.131,0.207,2.004,2.353,1.174,0.076,0.752,17.34,233.4,0.361,0.242,clean
9044,ebro,224.8,1334.21,10.887,22.742,41.075,0.501,0.063,2.171,2.297,1.058,0.092,0.72,15.9,223.0,0.389,0.254,clean
9046,ebro,109.2,950.381,9.502,24.337,38.709,0.495,0.097,2.894,2.595,0.897,0.027,0.617,21.29,245.4,0.328,0.398,clean
9047,ebro,426.8,1117.554,12.812,24.734,37.101,0.529,0.082,2.454,2.444,0.996,0.06,0.662,18.37,234.5,0.358,0.427,clean
9048,ebro,541.8,1367.439,19.383,20.769,42.767,0.61,0.0,2.65,2.19,0.826,0.135,0.738,13.02,204.6,0.44,0.622,clean
9049,ebro,150.3,1066.754,4.664,25.616,35.967,0.344,0.493,1.707,2.535,1.485,0.034,0.69,17.64,244.7,0.33,0.069,regulated_low
9050,ebro,694.5,948.844,8.043,27.523,31.975,0.339,0.451,2.334,2.305,0.988,0.058,0.742,13.89,210.4,0.424,0.247,clean
9052,ebro,47.8,983.775,14.358,25.705,37.055,0.905,0.0,1.809,2.655,1.467,0.015,0.746,19.98,268.8,0.264,0.382,clean
